route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
19-158,125-C-Weekday-50-SDon-1101100,9921223-125-C-Weekday-50-SDon-1101100,"Linda Mar Park & Ride",191003,1,,190036
67-158,125-C-Weekday-50-SDon,9921224-125-C-Weekday-50-SDon,"Ralston School",671001,1,,670089
87-158,125-C-Weekday-50-SDon-1101100,9921225-125-C-Weekday-50-SDon-1101100,"Portola Valley",871005,1,,870050
KX-158,125-C-Weekday-50,9921226-125-C-Weekday-50,"San Francisco",2041008,0,,KX0140
292-158,125-C-Weekday-50,9921227-125-C-Weekday-50,"Hillsdale Mall",2921033,1,,2921015
292-158,125-C-Weekday-50,9921228-125-C-Weekday-50,"San Francisco",2921090,0,,2921014
292-158,125-C-Weekday-50,9921229-125-C-Weekday-50,"San Francisco",2921046,0,,2921014
292-158,125-C-Weekday-50,9921230-125-C-Weekday-50,"Hillsdale Mall",2921053,1,,2921015
292-158,125-C-Weekday-50,9921231-125-C-Weekday-50,"San Francisco",2921092,0,,2921014
292-158,125-C-Weekday-50,9921232-125-C-Weekday-50,"San Francisco",2921078,0,,2921014
292-158,125-C-Weekday-50,9921233-125-C-Weekday-50,"Hillsdale Mall",2921075,1,,2921015
296-158,125-C-Weekday-50,9921234-125-C-Weekday-50,"Redwood City Transit Center",2961002,0,,2960216
292-158,125-C-Weekday-50,9921235-125-C-Weekday-50,"Hillsdale Mall",2921081,1,,2921015
292-158,125-C-Weekday-50,9921236-125-C-Weekday-50,"San Francisco",2921086,0,,2921014
60-158,125-C-Weekday-50-SDon,9921237-125-C-Weekday-50-SDon,"Ralston School",601001,1,,600160
14-158,125-C-Weekday-50-SDon,9921238-125-C-Weekday-50-SDon,"Linda Mar Park & Ride - Loop",141012,0,,140088
292-158,125-C-Weekday-50,9921239-125-C-Weekday-50,"Hillsdale Mall",2921071,1,,2921015
292-158,125-C-Weekday-50,9921240-125-C-Weekday-50,"Hillsdale Mall",2921059,1,,2921016
292-158,125-C-Weekday-50,9921241-125-C-Weekday-50,"San Francisco",2921076,0,,2921017
292-158,125-C-Weekday-50,9921242-125-C-Weekday-50,"San Francisco",2921080,0,,2921014
296-158,125-C-Weekday-50,9921243-125-C-Weekday-50,"",2961004,0,,2960216
KX-158,125-C-Weekday-50,9921244-125-C-Weekday-50,"San Francisco",2041004,0,,KX0140
16-158,125-C-Weekday-50-SDon,9921245-125-C-Weekday-50-SDon,"Serramonte Center",161002,0,,160060
79-158,125-C-Weekday-50-SDon,9921246-125-C-Weekday-50-SDon,"Kennedy School",791004,1,,790083
292-158,125-C-Weekday-50,9921247-125-C-Weekday-50,"Hillsdale Mall",2921079,1,,2921015
